OBJECTID,shortName,cableSystem,owner,status,region
81,JUS 2,Japan U.S. Cable Network,AT&T Corp,Out of Service,Pacific Islands
82,SCCN F,Southern Cross Cable Network,Southern Cross Cables Limited,In Service,Pacific Islands
83,SEA U.S. 6,Southeast Asia U.S.,GTI Corp,In Service,Pacific Islands
84,SEA U.S.,Southeast Asia U.S.,GTI Corp,In Service,Pacific Islands
85,Endeavor,Telstra Endeavor,Telstra,In Service,Pacific Islands
86,ASH,American Samoa Hawaii Cable,American Samoa Hawaii Cable LLC,Out of Service,Pacific Islands
87,,,,,Great Lakes
88,,,,,Great Lakes
89,,,,,Great Lakes
90,,,,,Great Lakes
91,,,,,Great Lakes
92,,,,,Great Lakes
93,,,,,Great Lakes
94,,,,,Great Lakes
95,,,,,Great Lakes
96,,,,,Great Lakes
97,,,,,Great Lakes
98,,,,,Great Lakes
99,,,,,Great Lakes
100,,,,,Great Lakes
101,,,,,Great Lakes
102,,,,,Great Lakes
103,,,,,Great Lakes
104,,,,,Great Lakes
105,,,,,Great Lakes
106,,,,,Great Lakes
107,,,,,Great Lakes
108,,,,,Great Lakes
109,,,,,Great Lakes
110,,,,,Great Lakes
111,,,,,Great Lakes
112,,,,,Great Lakes
113,,,,,Great Lakes
114,,,,,Great Lakes
115,,,,,Great Lakes
116,,,,,Great Lakes
117,,,,,Great Lakes
118,,,,,Great Lakes
119,,,,,Great Lakes
120,,,,,Great Lakes
121,,,,,Great Lakes
122,,,,,Great Lakes
123,,,,,Great Lakes
124,,,,,Great Lakes
125,,,,,Great Lakes
126,,,,,Great Lakes
127,,,,,Great Lakes
128,,,,,Great Lakes
129,,,,,Great Lakes
130,,,,,Great Lakes
131,,,,,Great Lakes
132,,,,,Great Lakes
133,,,,,Great Lakes
134,,,,,Great Lakes
135,,,,,Great Lakes
136,,,,,Great Lakes
137,,,,,Great Lakes
138,,,,,Great Lakes
139,,,,,Great Lakes
140,,,,,Great Lakes
141,,,,,Great Lakes
142,,,,,Great Lakes
143,,,,,Great Lakes
144,,,,,Great Lakes
145,,,,,Great Lakes
146,,,,,Great Lakes
147,,,,,Great Lakes
148,,,,,Great Lakes
149,,,,,Great Lakes
150,,,,,Great Lakes
151,,,,,Great Lakes
152,,,,,Great Lakes
153,,,,,Great Lakes
154,,,,,Great Lakes
155,,,,,Great Lakes
156,,,,,Great Lakes
157,,,,,Great Lakes
158,,,,,Great Lakes
159,,,,,Great Lakes
160,,,,,Great Lakes
161,,,,,Great Lakes
162,Crosslake Fibre,Crosslake Fibre,Crosslake Fibre,In Service,Great Lakes
